data_noise_seed,source_timestep,reverse_step,k_timestep,k_minus_1_timestep,d_k,d_k_minus_1,R_k,initial_zero_deviation,action_elements
0,95,1,95,94,0.0,0.027206987142562866,27206987142.562866,1,64
0,95,2,94,93,0.027206987142562866,0.04974594712257385,1.8284254283680828,0,64
0,95,3,93,92,0.04974594712257385,0.06883077323436737,1.3836458488444279,0,64
0,95,4,92,91,0.06883077323436737,0.08604239672422409,1.2500570991698936,0,64
