data_noise_seed,target_timestep,source_timestep,depth,G_state,G_pred,G_epsilon,E_q,E_self,DeltaE,G_state_X_aux,G_epsilon_X_aux,action_elements,X_unconditioned_elements_aux
2,49,53,4,1.1965668818447739e-05,1.1942340734094614e-06,1.7247542928089388e-05,0.0016443041386082768,0.0017092403722926974,6.493623368442059e-05,3.7108134165464435e-06,5.757901362812845e-06,2048,19968
2,9,10,1,3.0456114927801536e-06,8.810956160232308e-07,5.3109091822989285e-05,0.00038872333243489265,0.0004165639984421432,2.7840666007250547e-05,8.669910016578797e-07,1.4571447536582127e-05,2048,19968
2,9,11,2,1.1038107913918793e-05,3.417717834963696e-06,0.00018450488278176636,0.00038872333243489265,0.00044462739606387913,5.590406362898648e-05,3.1415929697686806e-06,5.06005781062413e-05,2048,19968
2,9,13,4,3.720504537341185e-05,1.2895887266495265e-05,0.0005740246269851923,0.00038872333243489265,0.0005013358895666897,0.00011261255713179708,1.0567002391326241e-05,0.0001593117049196735,2048,19968
3,89,90,1,2.9471789275703486e-06,2.2673484636470675e-06,2.853152636816958e-06,0.010083912871778011,0.010164491832256317,8.057896047830582e-05,2.253321554235299e-06,2.2089336653152714e-06,2048,19968
3,89,91,2,1.2906685697089415e-05,3.6766789435205283e-06,1.236439129570499e-05,0.010083912871778011,0.01024935208261013,0.000165439210832119,9.971741746994667e-06,9.561302249494474e-06,2048,19968
3,89,93,4,6.424380262615159e-05,1.0395331628387794e-05,6.120621401350945e-05,0.010083912871778011,0.010464698076248169,0.0003807852044701576,5.136226172908209e-05,4.898959014099091e-05,2048,19968
3,49,50,1,5.792573460894346e-07,7.173986205089022e-08,1.0213327641395153e-06,0.0012182299979031086,0.0012245920952409506,6.362097337841988e-06,2.0836304770455172e-07,4.191025197997078e-07,2048,19968
3,49,51,2,2.2813751456851605e-06,1.3092392237012973e-07,3.844269485853147e-06,0.0012182299979031086,0.0012313558254390955,1.31258275359869e-05,8.257654258159164e-07,1.445835550839547e-06,2048,19968
3,49,53,4,8.875291314325295e-06,3.6061146602150984e-07,1.4730248949490488e-05,0.0012182299979031086,0.0012447233311831951,2.6493333280086517e-05,3.24991810884967e-06,5.440981112769805e-06,2048,19968
3,9,10,1,2.84748261947243e-06,6.279731223912677e-07,5.376887565944344e-05,0.00036471636849455535,0.0003872449742630124,2.2528605768457055e-05,7.706065616730484e-07,1.4163774721964728e-05,2048,19968
3,9,11,2,1.0235422450932674e-05,2.3590716864418937e-06,0.00018673835438676178,0.00036471636849455535,0.0004092901945114136,4.457382601685822e-05,2.774826725726598e-06,4.928205817122944e-05,2048,19968
3,9,13,4,3.3875716326292604e-05,8.631550372228958e-06,0.000580762280151248,0.00036471636849455535,0.0004527172422967851,8.800087380222976e-05,9.211813448928297e-06,0.00015521446766797453,2048,19968
4,89,90,1,7.087257472448982e-06,2.5711935904837446e-06,6.917942300788127e-06,0.011705243960022926,0.011768816970288754,6.357301026582718e-05,3.7854442780371755e-06,3.7194620290392777e-06,2048,19968
4,89,91,2,2.9588709367089905e-05,4.302883098716848e-06,2.870115713449195e-05,0.011705243960022926,0.011859043501317501,0.00015379954129457474,1.600789255462587e-05,1.55122579599265e-05,2048,19968
4,89,93,4,0.00013029389083385468,1.3063479855190963e-05,0.00012605519441422075,0.011705243960022926,0.012059671804308891,0.00035442784428596497,7.465921953553334e-05,7.190011092461646e-05,2048,19968
4,49,50,1,1.71318447428348e-06,1.2567588214551506e-07,3.0479291126539465e-06,0.0015949850203469396,0.001609399332664907,1.4414312317967415e-05,6.340737286336662e-07,1.2038543673043023e-06,2048,19968
4,49,51,2,6.931290499778697e-06,3.384645026471844e-07,1.2256863556103781e-05,0.0015949850203469396,0.0016240553231909871,2.9070302844047546e-05,2.55646591540426e-06,4.6488230509567074e-06,2048,19968
4,49,53,4,2.8031583497067913e-05,1.1522698741828208e-06,4.96269749419298e-05,0.0015949850203469396,0.0016525123501196504,5.75273297727108e-05,1.0267576726619154e-05,1.847916246333625e-05,2048,19968
4,9,10,1,3.883291356032714e-06,7.850962333577627e-07,7.386585639324039e-05,0.0004448782419785857,0.00047358687152154744,2.8708629542961717e-05,1.0974289352816413e-06,1.9260387489339337e-05,2048,19968
4,9,11,2,1.3808305084239691e-05,2.90300613414729e-06,0.00025544557138346136,0.0004448782419785857,0.0005011375760659575,5.6259334087371826e-05,3.952331098844297e-06,6.696707714581862e-05,2048,19968
4,9,13,4,4.4932265154784545e-05,1.0240494702884462e-05,0.0007941340445540845,0.0004448782419785857,0.0005533047369681299,0.00010842649498954415,1.3118830793246161e-05,0.00021182435739319772,2048,19968
