data_noise_seed,source_timestep,target_timestep,total_depth,reset_depth,reset_timestep,E_q,E_free,E_reset,reset_gain,reset_recovery_fraction,pre_reset_d_action_l2,action_elements
0,96,88,4,1,94,0.008755804970860481,0.009415678679943085,0.009173048660159111,0.0002426300197839737,0.3676915998385399,0.04301466792821884,2048
0,96,88,4,2,92,0.008755804970860481,0.009415678679943085,0.009002302773296833,0.0004133759066462517,0.626447001837597,0.07137420773506165,2048
0,96,88,4,3,90,0.008755804970860481,0.009415678679943085,0.008870360441505909,0.0005453182384371758,0.8263978863399639,0.09307491779327393,2048
0,96,80,8,2,92,0.004217376932501793,0.00480080209672451,0.004578488878905773,0.00022231321781873703,0.3810483870967742,0.07137420773506165,2048
0,96,80,8,4,88,0.004217376932501793,0.00480080209672451,0.004427294712513685,0.00037350738421082497,0.6401975902229714,0.1106015220284462,2048
0,96,80,8,6,84,0.004217376932501793,0.00480080209672451,0.004312502220273018,0.0004882998764514923,0.8369537455622813,0.13799789547920227,2048
0,96,64,16,4,88,0.001793254748918116,0.002211295533925295,0.0020263579208403826,0.0001849376130849123,0.44239131615288796,0.1106015220284462,2048
0,96,64,16,8,80,0.001793254748918116,0.002211295533925295,0.0019227135926485062,0.0002885819412767887,0.6903200635599062,0.15891513228416443,2048
0,96,64,16,12,72,0.001793254748918116,0.002211295533925295,0.001850667642429471,0.00036062789149582386,0.8626619804324379,0.18881995975971222,2048
0,76,68,4,1,74,0.002102356171235442,0.0021744328550994396,0.002154930494725704,1.9502360373735428e-05,0.2705779362787377,0.009918827563524246,2048
0,76,68,4,2,72,0.002102356171235442,0.0021744328550994396,0.0021343883126974106,4.004454240202904e-05,0.555582474876198,0.01927398517727852,2048
0,76,68,4,3,70,0.002102356171235442,0.0021744328550994396,0.002118002623319626,5.6430231779813766e-05,0.7829193680204931,0.028127364814281464,2048
0,76,60,8,2,72,0.0015633469447493553,0.0016716326354071498,0.0016405112110078335,3.112142439931631e-05,0.2874010795910842,0.01927398517727852,2048
0,76,60,8,4,68,0.0015633469447493553,0.0016716326354071498,0.0016140523366630077,5.7580298744142056e-05,0.5317442996795199,0.03646785765886307,2048
