seed,source_timestep,target_timestep,total_depth,reset_depth,oracle_error,free_error,reset_error,free_minus_oracle,reset_minus_oracle,reset_gain,pre_reset_state_gap,recovery_ratio
0,90,86,4,1,0.004296908155083656,0.00441524013876915,0.004384116735309362,0.00011833198368549347,8.72085802257061e-05,3.112340345978737e-05,2.903851964219939e-06,0.2630176769664248
0,90,86,4,2,0.004296908155083656,0.00441524013876915,0.0043531544506549835,0.00011833198368549347,5.624629557132721e-05,6.208568811416626e-05,1.0302538612450007e-05,0.5246737710337012
0,90,86,4,3,0.004296908155083656,0.00441524013876915,0.004321871791034937,0.00011833198368549347,2.4963635951280594e-05,9.336834773421288e-05,2.0734041754622012e-05,0.7890372900565096
0,90,82,8,2,0.0026402014773339033,0.0027836572844535112,0.0027395652141422033,0.00014345580711960793,9.936373680830002e-05,4.409207031130791e-05,1.0302538612450007e-05,0.3073564688430189
0,90,82,8,4,0.0026402014773339033,0.0027836572844535112,0.0027038739062845707,0.00014345580711960793,6.367242895066738e-05,7.978337816894054e-05,3.332218329887837e-05,0.5561530046840156
0,90,82,8,6,0.0026402014773339033,0.0027836572844535112,0.002670670859515667,0.00014345580711960793,3.046938218176365e-05,0.00011298642493784428,6.274160114116967e-05,0.7876044003129169
0,90,74,16,4,0.0013204205315560102,0.0014546087477356195,0.0014082873240113258,0.0001341882161796093,8.786679245531559e-05,4.632142372429371e-05,3.332218329887837e-05,0.3451974028948492
0,90,74,16,8,0.0013204205315560102,0.0014546087477356195,0.0013728427002206445,0.0001341882161796093,5.242216866463423e-05,8.176604751497507e-05,9.5197836344596e-05,0.6093385085731537
0,90,74,16,12,0.0013204205315560102,0.0014546087477356195,0.001344110001809895,0.0001341882161796093,2.3689470253884792e-05,0.0001104987459257245,0.00016418904124293476,0.8234608751175534
0,50,46,4,1,0.00035382897476665676,0.0003616770845837891,0.0003597621398512274,7.848109817132354e-06,5.933165084570646e-06,1.9149447325617075e-06,2.412062656276248e-07,0.24400075651100092
0,50,46,4,2,0.00035382897476665676,0.0003616770845837891,0.0003578530449885875,7.848109817132354e-06,4.024070221930742e-06,3.8240395952016115e-06,9.417047976967297e-07,0.48725612718284944
0,50,46,4,3,0.00035382897476665676,0.0003616770845837891,0.000355911732185632,7.848109817132354e-06,2.082757418975234e-06,5.76535239815712e-06,2.0755496734636836e-06,0.7346166825509254
0,50,42,8,2,0.00031411630334332585,0.0003305555146653205,0.0003265205887146294,1.6439211321994662e-05,1.2404285371303558e-05,4.034925950691104e-06,9.417047976967297e-07,0.245445226760521
0,50,42,8,4,0.00031411630334332585,0.0003305555146653205,0.0003225246036890894,1.6439211321994662e-05,8.408300345763564e-06,8.030910976231098e-06,3.6068615827389294e-06,0.4885216704700565
0,50,42,8,6,0.00031411630334332585,0.0003305555146653205,0.00031844337354414165,1.6439211321994662e-05,4.327070200815797e-06,1.2112141121178865e-05,7.737655323580839e-06,0.7367835891843277
0,50,34,16,4,0.0002526077732909471,0.00028869108064100146,0.00028061808552592993,3.608330735005438e-05,2.8010312234982848e-05,8.072995115071535e-06,3.6068615827389294e-06,0.2237321273450109
0,50,34,16,8,0.0002526077732909471,0.00028869108064100146,0.0002717884781304747,3.608330735005438e-05,1.9180704839527607e-05,1.6902602510526776e-05,1.3030571608396713e-05,0.4684327394534498
0,50,34,16,12,0.0002526077732909471,0.00028869108064100146,0.0002624438493512571,3.608330735005438e-05,9.836076060310006e-06,2.6247231289744377e-05,2.6521393010625616e-05,0.7274064717824381
0,20,16,4,1,0.00014244965859688818,0.00015923520550131798,0.0001551660825498402,1.6785546904429793e-05,1.2716423952952027e-05,4.069122951477766e-06,3.65523817436042e-07,0.242418252717396
0,20,16,4,2,0.00014244965859688818,0.00015923520550131798,0.00015105326019693166,1.6785546904429793e-05,8.603601600043476e-06,8.181945304386318e-06,1.4538877621816937e-06,0.48743989999081055
0,20,16,4,3,0.00014244965859688818,0.00015923520550131798,0.00014684007328469306,1.6785546904429793e-05,4.390414687804878e-06,1.2395132216624916e-05,3.248660277677118e-06,0.7384407721236521
0,20,12,8,2,0.00011800927313743159,0.0001545716222608462,0.00014616370026487857,3.6562349123414606e-05,2.815442712744698e-05,8.407921995967627e-06,1.4538877621816937e-06,0.2299612086626889
0,20,12,8,4,0.00011800927313743159,0.0001545716222608462,0.0001373218692606315,3.6562349123414606e-05,1.931259612319991e-05,1.7249753000214696e-05,5.731996225222247e-06,0.47179006310532484
0,20,12,8,6,0.00011800927313743159,0.0001545716222608462,0.00012796040391549468,3.6562349123414606e-05,9.951130778063089e-06,2.6611218345351517e-05,1.268986761715496e-05,0.7278311974847819
0,20,4,16,4,6.628300616284832e-05,0.00016511845751665533,0.00014628945791628212,9.8835451353807e-05,8.00064517534338e-05,1.882899960037321e-05,5.731996225222247e-06,0.19050856087022808
