seed,source_timestep,target_timestep,depth,execution_steps,state_gap,prediction_gap,proxy_reference_reconstruction_error,self_reconstruction_error,action_rmse_before_clip,action_rmse,reference_cumulative_reward,self_cumulative_reward,cumulative_reward_drop,reference_final_reward,self_final_reward,final_reward_drop,reference_success,self_success,final_agent_distance,final_block_pose_distance,reference_steps,self_steps
0,90,74,16,14,0.0004326781490817666,0.0004205618752166629,0.00458791246637702,0.00537812290713191,2.3704187870025635,2.37041888289311,8.698215239092661,8.697925366543975,0.0002898725486861764,0.6234833639845507,0.6235924520273155,-0.00010908804276477113,0,0,3.956950267865021,0.05485072861980143,14,14
1,90,74,16,14,0.00017154664965346456,0.00019122126104775816,0.001020353753119707,0.0010707504115998745,0.2321990579366684,0.23219906791809924,2.48068775641237,2.482252670774219,-0.0015649143618490235,0.19287521248116887,0.1932048167723915,-0.00032960429122264046,0,0,0.34153309773394513,0.19084185824921404,14,14
2,90,74,16,14,0.003915335983037949,0.0045659043826162815,0.0018541625468060374,0.00192209891974926,0.9895786643028259,0.9895787406439305,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4857429185570786,0.7432341848765875,14,14
3,90,74,16,14,0.00016136260819621384,0.00018336564244236797,0.0015514474362134933,0.0015748466830700636,0.33831971883773804,0.3383197096910385,10.135933420156093,10.098300623215039,0.037632796941053925,0.7788302845693048,0.7766348970080141,0.0021953875612906737,0,0,0.2373008743727995,0.15088865159866213,14,14
4,90,74,16,14,0.00024150725221261382,0.0002602663589641452,0.0027503138408064842,0.0029266229830682278,0.8691782355308533,0.8691782156980374,4.323074611417666,4.301401083156253,0.02167352826141311,0.3405272004709755,0.3390072148442942,0.0015199856266813194,0,0,1.71705815991012,0.16168376361228495,14,14
5,90,74,16,14,0.00026270124362781644,0.0002688121749088168,0.0012385889422148466,0.001396798761561513,1.6304569244384766,1.6304569554264212,4.864653235521799,4.855541731769932,0.009111503751866756,0.3424805159329744,0.3413511220953169,0.001129393837657533,0,0,2.105682606396,0.009176215726084487,14,14
6,90,74,16,14,0.0001436637103324756,0.00016215912182815373,0.0010187167208641768,0.0010562306270003319,0.4940509796142578,0.4940510039187708,2.617223227124409,2.6172508246638007,-2.7597539391521764e-05,0.18694451622317204,0.1869464874759858,-1.9712528137594276e-06,0,0,0.33504407729621866,0.00012811544885678346,14,14
7,90,74,16,14,0.010332383215427399,0.011783606372773647,0.0019413339905440807,0.0019827275536954403,3.3986876010894775,3.3986873589576563,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.702654463316065,1.2486956872635973,14,14
8,90,74,16,14,0.00012100003368686885,0.00013577974459622055,0.0007098441710695624,0.0007399599417112768,0.3145287334918976,0.31452872785436836,7.723466534263597,7.708327883442655,0.015138650820942345,0.8956970625355871,0.8952232011108534,0.0004738614247337125,0,0,0.23962083640460735,0.23615002972509144,14,14
9,90,74,16,14,0.00017034373013302684,0.00018535941489972174,0.0011205757036805153,0.0011972219217568636,0.44582366943359375,0.4458236449322218,0.08208460573946376,0.07175119805040592,0.010333407689057841,0.03804367454003807,0.03556601882904808,0.0024776557109899913,0,0,0.6390860190664684,0.7679009554749578,14,14
