seed,source_timestep,target_timestep,total_depth,reset_depth,oracle_error,free_error,reset_error,free_minus_oracle,reset_minus_oracle,reset_gain,pre_reset_state_gap,recovery_ratio
2,50,42,4,2,0.0004103907849639654,0.0004467475228011608,0.00042903286521323025,3.6356737837195396e-05,1.8642080249264836e-05,1.771465758793056e-05,3.7428526411531493e-06,0.4872455187606868
2,50,42,4,3,0.0004103907849639654,0.0004467475228011608,0.00041992319165728986,3.6356737837195396e-05,9.532406693324447e-06,2.682433114387095e-05,8.245743629231583e-06,0.7378090758304462
2,50,34,8,2,0.00032621200080029666,0.0004056610632687807,0.00038720175507478416,7.944906246848404e-05,6.0989754274487495e-05,1.845930819399655e-05,3.7428526411531493e-06,0.2323414225475475
2,50,34,8,4,0.00032621200080029666,0.0004056610632687807,0.00036779241054318845,7.944906246848404e-05,4.158040974289179e-05,3.7868652725592256e-05,1.4337229004013352e-05,0.476640649354598
2,50,34,8,6,0.00032621200080029666,0.0004056610632687807,0.00034730599145404994,7.944906246848404e-05,2.109399065375328e-05,5.8355071814730763e-05,3.082781768171117e-05,0.7344966699623312
2,50,18,16,4,0.00018476351397112012,0.0003735956270247698,0.00033343001268804073,0.00018883211305364966,0.00014866649871692061,4.016561433672905e-05,1.4337229004013352e-05,0.21270542222507183
2,50,18,16,8,0.00018476351397112012,0.0003735956270247698,0.00028851322713308036,0.00018883211305364966,0.00010374971316196024,8.508239989168942e-05,5.224815686233342e-05,0.4505716666291628
2,50,18,16,12,0.00018476351397112012,0.0003735956270247698,0.00023870027507655323,0.00018883211305364966,5.3936761105433106e-05,0.00013489535194821656,0.00010672569624148309,0.7143665861001673
2,40,32,4,1,0.00030763016548007727,0.0003505331405904144,0.0003400439163669944,4.290297511033714e-05,3.2413750886917114e-05,1.0489224223420024e-05,1.0269004633300938e-06,0.2444871059977546
2,40,32,4,2,0.00030763016548007727,0.0003505331405904144,0.00032942392863333225,4.290297511033714e-05,2.1793763153254986e-05,2.1109211957082152e-05,4.030167929158779e-06,0.4920221010965753
2,40,32,4,3,0.00030763016548007727,0.0003505331405904144,0.0003185548703186214,4.290297511033714e-05,1.092470483854413e-05,3.197827027179301e-05,8.901450200937688e-06,0.7453625346389577
2,40,24,8,2,0.00023584871087223291,0.00032979738898575306,0.0003078577574342489,9.394867811352015e-05,7.200904656201601e-05,2.1939631551504135e-05,4.030167929158779e-06,0.23352783660238435
2,40,24,8,4,0.00023584871087223291,0.00032979738898575306,0.00028498831670731306,9.394867811352015e-05,4.913960583508015e-05,4.480907227844e-05,1.5553108823951334e-05,0.476952663711737
2,40,24,8,6,0.00023584871087223291,0.00032979738898575306,0.00026086001889780164,9.394867811352015e-05,2.5011308025568724e-05,6.893737008795142e-05,3.377652683411725e-05,0.733776903222129
2,40,8,16,4,0.00010226143058389425,0.0003295602509751916,0.00028014034614898264,0.00022729882039129734,0.0001778789155650884,4.941990482620895e-05,1.5553108823951334e-05,0.21742261900493834
2,40,8,16,8,0.00010226143058389425,0.0003295602509751916,0.00022516910394188017,0.00022729882039129734,0.00012290767335798591,0.00010439114703331143,5.789531132904813e-05,0.4592683184787363
2,40,8,16,12,0.00010226143058389425,0.0003295602509751916,0.00016566003614570946,0.00022729882039129734,6.33986055618152e-05,0.00016390021482948214,0.00012061537563567981,0.7210781584670178
3,90,82,4,1,0.0026842139195650816,0.0028476277366280556,0.0027941588778048754,0.00016341381706297398,0.00010994495823979378,5.34688588231802e-05,8.510564839525614e-06,0.32719913030717085
3,90,82,4,2,0.0026842139195650816,0.0028476277366280556,0.002752382541075349,0.00016341381706297398,6.816862151026726e-05,9.524519555270672e-05,2.856186983990483e-05,0.5828466482488598
3,90,82,4,3,0.0026842139195650816,0.0028476277366280556,0.0027160863392055035,0.00016341381706297398,3.187241964042187e-05,0.0001315413974225521,5.5371521739289165e-05,0.8049588448929056
3,90,74,8,2,0.0013740041758865118,0.0015243076486513019,0.0014707990922033787,0.00015030347276479006,9.679491631686687e-05,5.3508556447923183e-05,2.856186983990483e-05,0.3560034606230206
3,90,74,8,4,0.0013740041758865118,0.0015243076486513019,0.0014312054263427854,0.00015030347276479006,5.7201250456273556e-05,9.31022223085165e-05,8.602077286923304e-05,0.6194282846292726
3,90,74,8,6,0.0013740041758865118,0.0015243076486513019,0.0014002403477206826,0.00015030347276479006,2.623617183417082e-05,0.00012406730093061924,0.00015250574506353587,0.8254453383440593
3,90,58,16,4,0.0006000944413244724,0.0007290559005923569,0.0006814873195253313,0.0001289614592678845,8.139287820085883e-05,4.756858106702566e-05,8.602077286923304e-05,0.3688588927038588
3,90,58,16,8,0.0006000944413244724,0.0007290559005923569,0.0006488190265372396,0.0001289614592678845,4.8724585212767124e-05,8.023687405511737e-05,0.00021983998885843903,0.6221771567305683
3,90,58,16,12,0.0006000944413244724,0.0007290559005923569,0.0006230198196135461,0.0001289614592678845,2.2925378289073706e-05,0.00010603608097881079,0.00034391492954455316,0.8222307779454319
3,50,42,4,1,0.0003462512686382979,0.0003665915864985436,0.0003615131718106568,2.0340317860245705e-05,1.526190317235887e-05,5.078414687886834e-06,8.332472702932137e-07,0.24967233662618332
3,50,42,4,2,0.0003462512686382979,0.0003665915864985436,0.00035657567786984146,2.0340317860245705e-05,1.0324409231543541e-05,1.0015908628702164e-05,3.229245749025722e-06,0.4924165245361202
3,50,42,4,3,0.0003462512686382979,0.0003665915864985436,0.0003516053257044405,2.0340317860245705e-05,5.354057066142559e-06,1.4986260794103146e-05,7.0575774770986754e-06,0.7367761358043062
3,50,34,8,2,0.00027145358035340905,0.00031520341872237623,0.0003047955397050828,4.3749838368967175e-05,3.334195935167372e-05,1.0407879017293453e-05,3.229245749025722e-06,0.2378952564239875
3,50,34,8,4,0.00027145358035340905,0.00031520341872237623,0.00029421228100545704,4.3749838368967175e-05,2.2758700652047992e-05,2.0991137716919184e-05,1.2186799722258002e-05,0.4797992061110952
3,50,34,8,6,0.00027145358035340905,0.00031520341872237623,0.00028308876790106297,4.3749838368967175e-05,1.1635187547653913e-05,3.211465082131326e-05,2.579034844529815e-05,0.734051873528588
3,50,18,16,4,0.00015756889479234815,0.0002715255250222981,0.00024748334544710815,0.00011395663022994995,8.991445065476e-05,2.4042179575189948e-05,1.2186799722258002e-05,0.210976575269696
3,50,18,16,8,0.00015756889479234815,0.0002715255250222981,0.00022101870854385197,0.00011395663022994995,6.344981375150383e-05,5.0506816478446126e-05,4.3096406443510205e-05,0.4432108634357633
3,50,18,16,12,0.00015756889479234815,0.0002715255250222981,0.00019141352095175534,0.00011395663022994995,3.38446261594072e-05,8.011200407054275e-05,8.498516399413347e-05,0.7030043263729977
3,40,32,4,1,0.0002558095729909837,0.0002796471817418933,0.00027395703364163637,2.3837608750909567e-05,1.8147460650652647e-05,5.69014810025692e-06,8.613342288299464e-07,0.23870465195213014
3,40,32,4,2,0.0002558095729909837,0.0002796471817418933,0.0002680999750737101,2.3837608750909567e-05,1.229040208272636e-05,1.1547206668183208e-05,3.377317852937267e-06,0.4844112842376693
3,40,32,4,3,0.0002558095729909837,0.0002796471817418933,0.0002619181468617171,2.3837608750909567e-05,6.10857387073338e-06,1.7729034880176187e-05,7.407811608572956e-06,0.7437421708458783
3,40,24,8,2,0.00019666150910779834,0.00025114117306657135,0.00023855347535572946,5.447966395877302e-05,4.189196624793112e-05,1.2587697710841894e-05,3.377317852937267e-06,0.23105314526843482
3,40,24,8,4,0.00019666150910779834,0.00025114117306657135,0.00022547171101905406,5.447966395877302e-05,2.8810201911255717e-05,2.56694620475173e-05,1.283504934690427e-05,0.4711751171399006
3,40,24,8,6,0.00019666150910779834,0.00025114117306657135,0.00021142791956663132,5.447966395877302e-05,1.476641045883298e-05,3.971325349994004e-05,2.743797449511476e-05,0.728955551744825
3,40,8,16,4,9.133380808634683e-05,0.0002410349261481315,0.0002118042903020978,0.00014970111806178465,0.00012047048221575096,2.9230635846033692e-05,1.283504934690427e-05,0.19525997016247817
3,40,8,16,8,9.133380808634683e-05,0.0002410349261481315,0.00017856060003396124,0.00014970111806178465,8.72267919476144e-05,6.247432611417025e-05,4.624094071914442e-05,0.4173270508800465
3,40,8,16,12,9.133380808634683e-05,0.0002410349261481315,0.00013915725867263973,0.00014970111806178465,4.782345058629289e-05,0.00010187766747549176,9.305322600994259e-05,0.6805404581777726
4,90,82,4,1,0.0029489670414477587,0.0031166980043053627,0.0030633709393441677,0.00016773096285760403,0.00011440389789640903,5.332706496119499e-05,1.0229243343928829e-05,0.31793214593579394
4,90,82,4,2,0.0029489670414477587,0.0031166980043053627,0.0030187780503183603,0.00016773096285760403,6.981100887060165e-05,9.791995398700237e-05,3.49267284036614e-05,0.5837917598441974
4,90,82,4,3,0.0029489670414477587,0.0031166980043053627,0.0029821672942489386,0.00016773096285760403,3.3200252801179886e-05,0.00013453071005642414,6.900909647811204e-05,0.8020624681600058
4,90,74,8,2,0.0015600241022184491,0.0017452584579586983,0.0016800826415419579,0.00018523435574024916,0.00012005853932350874,6.517581641674042e-05,3.49267284036614e-05,0.3518559834987377
4,90,74,8,4,0.0015600241022184491,0.0017452584579586983,0.001631002640351653,0.00018523435574024916,7.097853813320398e-05,0.00011425581760704517,0.00010917904000962153,0.6168176370438758
4,90,74,8,6,0.0015600241022184491,0.0017452584579586983,0.0015914588002488017,0.00018523435574024916,3.143469803035259e-05,0.00015379965770989656,0.0002001981483772397,0.8302976901626559
