seed,source_timestep,target_timestep,depth,state_gap,prediction_gap,proxy_reference_reconstruction_error,self_reconstruction_error,action_rmse_before_clip,action_rmse,reference_cumulative_reward,self_cumulative_reward,cumulative_reward_drop,reference_final_reward,self_final_reward,final_reward_drop,reference_success,self_success,final_agent_distance,final_block_pose_distance,reference_steps,self_steps
0,90,74,16,0.00016649195458739996,0.00017888324509840459,0.0011629982618615031,0.0012516852002590895,0.25167232751846313,0.2516723303418541,4.54383866704886,4.541380144550463,0.0024585224983963982,0.5807199026414689,0.5801308436171833,0.000589059024285632,0,0,0.20775491302158602,0.136921545588878,8,8
1,90,74,16,0.00018993753474205732,0.00021867085888516158,0.0016035892767831683,0.001613372820429504,0.4528164863586426,0.45281649109450106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.32623786367304625,0.0,8,8
2,90,74,16,0.08113693445920944,0.08732893317937851,0.00840612594038248,0.006308500189334154,16.51652717590332,16.516527043185896,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23.18930469615981,13.548807897700742,8,8
3,90,74,16,0.0001496335753472522,0.00016681507986504585,0.0011410412844270468,0.001187333487905562,0.2596915662288666,0.25969155254486365,0.21286776902680837,0.21262218587612558,0.00024558315068279324,0.06034749068167979,0.06059602132610176,-0.000248530644421964,0,0,0.23663039270996963,0.07461404606980551,8,8
4,90,74,16,0.00015627691755071282,0.0001725696201901883,0.0008345524547621608,0.0008791419677436352,0.4196835160255432,0.4196835213774548,0.11230300825732246,0.1072217956357098,0.005081212621612666,0.056503982564067884,0.05475111374404174,0.001752868820026142,0,0,0.5353456009974734,0.4068432460897482,8,8
