data_noise_seed,source_timestep,target_timestep,total_depth,reset_depth,reset_timestep,E_q,E_free,E_reset,reset_gain,reset_recovery_fraction,pre_reset_d_action_l2,action_elements
0,95,91,4,1,94,0.013859180733561516,0.014359790831804276,0.014194764196872711,0.00016502663493156433,0.32965103083385733,0.01777908205986023,2048
0,95,91,4,2,93,0.013859180733561516,0.014359790831804276,0.014071809127926826,0.00028798170387744904,0.575261475723965,0.03253217786550522,2048
0,95,91,4,3,92,0.013859180733561516,0.014359790831804276,0.013953311368823051,0.00040647946298122406,0.8119681652608431,0.045248743146657944,2048
0,95,87,8,2,93,0.007839695550501347,0.008328843861818314,0.00816517323255539,0.0001636706292629242,0.33460327977472254,0.03253217786550522,2048
0,95,87,8,4,91,0.007839695550501347,0.008328843861818314,0.00803249329328537,0.0002963505685329437,0.6058501310881746,0.056396834552288055,2048
0,95,87,8,6,89,0.007839695550501347,0.008328843861818314,0.007928552106022835,0.0004002917557954788,0.818344347786352,0.07533499598503113,2048
0,95,79,16,4,91,0.003922531846910715,0.004409700632095337,0.004234356805682182,0.0001753438264131546,0.3599241818145322,0.056396834552288055,2048
0,95,79,16,8,87,0.003922531846910715,0.004409700632095337,0.004105700179934502,0.00030400045216083527,0.624014636006756,0.09113333374261856,2048
0,95,79,16,12,83,0.003922531846910715,0.004409700632095337,0.004007244482636452,0.0004024561494588852,0.8261123489395299,0.11687532067298889,2048
0,65,61,4,1,64,0.0016141841188073158,0.0016391825629398227,0.0016330336220562458,6.14894088357687e-06,0.24597294339534775,0.004274565260857344,2048
0,65,61,4,2,63,0.0016141841188073158,0.0016391825629398227,0.001625912031158805,1.327053178101778e-05,0.5308543087992177,0.008457254618406296,2048
0,65,61,4,3,62,0.0016141841188073158,0.0016391825629398227,0.0016199218807742,1.926068216562271e-05,0.7704752369199246,0.012560101225972176,2048
0,65,57,8,2,63,0.0014311997219920158,0.001478720223531127,0.0014665717026218772,1.2148520909249783e-05,0.2556479943556803,0.008457254618406296,2048
0,65,57,8,4,61,0.0014311997219920158,0.001478720223531127,0.001454479992389679,2.424023114144802e-05,0.5101004904482629,0.016594205051660538,2048
0,65,57,8,6,59,0.0014311997219920158,0.001478720223531127,0.0014423029497265816,3.64172738045454e-05,0.7663486837270148,0.024487383663654327,2048
0,65,49,16,4,61,0.001187287038192153,0.0012783582787960768,0.001256170915439725,2.2187363356351852e-05,0.24362645341405298,0.016594205051660538,2048
0,65,49,16,8,57,0.001187287038192153,0.0012783582787960768,0.0012340808752924204,4.427740350365639e-05,0.4861842576211562,0.03210889548063278,2048
0,65,49,16,12,53,0.001187287038192153,0.0012783582787960768,0.0012109623057767749,6.739597301930189e-05,0.7400357409471606,0.046496547758579254,2048
0,35,31,4,1,34,0.0008503170683979988,0.0008924826979637146,0.0008821348310448229,1.0347866918891668e-05,0.24540999447818884,0.004588809795677662,2048
0,35,31,4,2,33,0.0008503170683979988,0.0008924826979637146,0.0008715928997844458,2.0889798179268837e-05,0.4954224185532855,0.009144962765276432,2048
0,35,31,4,3,32,0.0008503170683979988,0.0008924826979637146,0.0008615010883659124,3.098160959780216e-05,0.7347598012147984,0.013662757351994514,2048
0,35,27,8,2,33,0.0007790378876961768,0.0008709270041435957,0.0008493115310557187,2.1615473087877035e-05,0.2352343120008767,0.009144962765276432,2048
0,35,27,8,4,31,0.0007790378876961768,0.0008709270041435957,0.0008270067046396434,4.3920299503952265e-05,0.4779706368064217,0.018135175108909607,2048
0,35,27,8,6,29,0.0007790378876961768,0.0008709270041435957,0.0008037706720642745,6.715633207932115e-05,0.7308409817799211,0.026930710300803185,2048
0,35,19,16,4,31,0.0006268963916227221,0.0008465592982247472,0.0007993998588062823,4.71594394184649e-05,0.21469004552464638,0.018135175108909607,2048
0,35,19,16,8,27,0.0006268963916227221,0.0008465592982247472,0.0007469147676602006,9.964453056454659e-05,0.45362474760054905,0.035527363419532776,2048
0,35,19,16,12,23,0.0006268963916227221,0.0008465592982247472,0.0006894628750160336,0.00015709642320871353,0.715170465686924,0.052100129425525665,2048
1,95,91,4,1,94,0.015142431482672691,0.015879282727837563,0.01566515676677227,0.00021412596106529236,0.2905959139926288,0.018272649496793747,2048
1,95,91,4,2,93,0.015142431482672691,0.015879282727837563,0.015463793650269508,0.0004154890775680542,0.5638710395000935,0.033387333154678345,2048
1,95,91,4,3,92,0.015142431482672691,0.015879282727837563,0.015275081619620323,0.0006042011082172394,0.8199770471746285,0.0464051254093647,2048
1,95,87,8,2,93,0.008332842029631138,0.009047373197972775,0.008800871670246124,0.00024650152772665024,0.34498359014731067,0.033387333154678345,2048
1,95,87,8,4,91,0.008332842029631138,0.009047373197972775,0.008612480945885181,0.0004348922520875931,0.6086400025025351,0.05785219371318817,2048
